Gene_ID,Gene_Name,Colon_FoldChange,Colon_pValue,Lung_FoldChange,Lung_pValue,Abs_Colon_FoldChange,Abs_Lung_FoldChange
ENSG00000184611,KCNH7,-1.0,0.268033131093475,2.2,0.0263958329520935,1.0,2.2
ENSG00000184678,H2BC21,0.1,0.922780928913113,1.8,0.0038559507680855,0.1,1.8
ENSG00000184845,DRD1,-0.9,0.442036612777161,-2.5,0.0111610406716658,0.9,2.5
ENSG00000184933,OR6A2,-1.9,0.0219839869032733,2.2,0.0120934027089158,1.9,2.2
ENSG00000185008,ROBO2,-0.3,0.713243816128158,-2.6,8.0246685478636e-05,0.3,2.6
ENSG00000185010,F8,2.5,0.000151107772767889,1.7,0.0169653059797728,2.5,1.7
ENSG00000185031,SLC2A3P2,-0.4,0.601731142780226,-3.7,3.38534232190733e-10,0.4,3.7
ENSG00000185046,ANKS1B,0.8,0.167599670982299,-1.5,0.0090807029722895,0.8,1.5
ENSG00000185130,H2BC13,-1.4,0.154005363839599,2.3,0.0467620682016519,1.4,2.3
ENSG00000185201,IFITM2,2.0,2.32421627487492e-06,1.8,1.66562936790424e-08,2.0,1.8
ENSG00000185271,KLHL33,0.4,0.770905803840114,-2.4,0.0094039822404272,0.4,2.4
ENSG00000185303,SFTPA2,-2.6,0.005182902905308,-2.0,0.0015147558737545,2.6,2.0
ENSG00000185324,CDK10,-1.0,0.13676593835648,-1.5,0.0060062881775045,1.0,1.5
ENSG00000185436,IFNLR1,-1.8,0.0335178296417637,-2.3,2.56762214636498e-07,1.8,2.3
ENSG00000185453,ZSWIM9,-1.8,0.0017325178491328,-1.8,0.0022286267610954,1.8,1.8
ENSG00000185585,OLFML2A,0.2,0.795824797913798,-2.5,5.58550457470793e-06,0.2,2.5
ENSG00000185736,ADARB2,1.6,0.0067813236922741,-2.0,0.0025444819582546,1.6,2.0
ENSG00000185825,BCAP31,-0.1,0.907082458033088,1.5,0.0151685087196491,0.1,1.5
ENSG00000185958,FAM186A,-1.7,0.0283406533009433,-2.1,0.000439070711109572,1.7,2.1
ENSG00000185989,RASA3,0.5,0.26893789061387,1.5,0.0190434362179664,0.5,1.5
ENSG00000186081,KRT5,2.9,0.0155218391155756,4.5,2.55928530902306e-06,2.9,4.5
ENSG00000186136,TAS2R42,-2.6,0.0033094042828336,-3.0,0.0121970171953437,2.6,3.0
ENSG00000186160,CYP4Z1,-2.3,0.0096239158683346,-2.4,0.0120433499445596,2.3,2.4
ENSG00000186185,KIF18B,-1.3,0.132066383978783,2.6,0.0066468405229222,1.3,2.6
ENSG00000186188,FFAR4,-1.8,0.0526354821271926,-2.1,0.0320070065443554,1.8,2.1
ENSG00000186326,RGS9BP,1.4,0.327042726662255,-5.8,7.19627242811532e-11,1.4,5.8
ENSG00000186340,THBS2,1.4,0.020420724026429,3.1,4.32976264516275e-13,1.4,3.1
ENSG00000186417,GLDN,-0.4,0.692593714588533,2.1,0.000402681210891915,0.4,2.1
ENSG00000186431,FCAR,0.6,0.554583622640844,2.6,0.000950488473488646,0.6,2.6
ENSG00000186462,NAP1L2,1.4,0.0724656543666929,-1.8,0.0192040908027503,1.4,1.8
